Filename,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Island Area Change,Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Maximum Kurtosis,Maximum Median Skewness,Maximum Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Flow Direction,Flow Directional Spread,stab_conc_uM,stab_name,mt_conc_uM,actin_conc_uM,channel,trial,time_PT,spatial_x,spatial_y
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-2_tile_1_0.tif,0,0,0.4720096050546657,-0.2012416847892868,0.28566555200864924,-0.35968373892516864,0.15120146396888465,-0.4189476423382223,1.0881985892945945,-0.2001841026681992,-0.54322443093608,0.31831726698493523,0.19860444762242366,-0.5796766082296272,-7.683968242405099,-0.4526503209757594,-0.3830487360708335,1.9323389580914196,-1.5593633120728128,2.5,TX,3.19,2.62,1,1,2,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-2_tile_1_1.tif,0,0,0.882047564036014,-0.012597308296540953,0.22686859267337184,0.6775789127321057,0.16181941291280633,-0.3373561395074433,2.6528573715971286,-0.0031726622036827756,-0.36699105485307454,0.31661136470018764,-0.17416634952070462,0.2256814352039493,-0.007883586501948666,-0.4604398396029823,-0.3794096559538219,1.7496710281907355,-1.2081074018378408,2.5,TX,3.19,2.62,1,1,2,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-3_tile_0_0.tif,0,0,0.6086889247151152,-0.04072622353280538,0.15184730681069997,-0.30909049825591534,-0.4297352670556081,-0.2498307091980623,1.9685915531528448,-0.2377765040736618,-0.42392457729296545,0.35727873661649867,-0.04451952060140263,-0.08690228365129819,-0.016627719300698524,-0.9354215277693668,0.2943129094654495,0.5175098971560899,0.5487596303552772,2.5,TX,3.19,2.62,1,1,3,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-3_tile_0_1.tif,0,0,0.6086889247151152,-0.18601594167974916,0.1561305290139321,-0.5713273747854061,-0.10783602406691258,-0.0451102111862897,-0.4459515259435452,-0.27128291132630994,-0.12096262354436398,0.362152713019463,0.07003006932013901,-0.2620438064936681,0.023918666119795474,-0.921201747104206,0.2717743960518997,0.5265897424965843,0.47813209706627646,2.5,TX,3.19,2.62,1,1,3,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-3_tile_1_0.tif,0,0,0.7453682443755646,-0.2951767778718579,0.35069265273044614,-0.7806076549552324,-0.1984523557716695,-0.2701049614166195,-0.31520009566756735,-0.19889284467077933,-0.6349501554233655,-4.342042532470424,0.04092770668212708,-0.3022575506056115,0.16431953135733338,-0.9319922150586913,0.2698109478863538,0.7095295049492422,0.3503527548761879,2.5,TX,3.19,2.62,1,1,3,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-3_tile_1_1.tif,0,0,0.6086889247151152,-0.06562934573738811,0.2816419190298554,-1.0406328089508612,-0.05776520800092372,0.0021139616642520446,-0.6333619093391134,-0.10567368959106337,-0.3321178827483487,0.32453749588037767,-0.040529093245339175,-0.029412653965658175,0.0004982413114994513,-0.9244588293663135,0.3001341596838968,0.4101751336673175,0.5913721925302413,2.5,TX,3.19,2.62,1,1,3,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-4_tile_0_0.tif,0,0,0.4720096050546657,0.01204775046550724,0.12017742142922605,-0.7741483300920473,-0.13126083120366838,-0.08640045655822934,0.6828691554390632,-0.27255449436422646,-0.40998777225173655,0.3486132596952263,0.01651003142134161,-0.2331351689731599,0.006391157663995536,-0.9527299729658639,0.2975670890124689,0.29538780496321326,0.6073127127091966,2.5,TX,3.19,2.62,1,1,4,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-4_tile_0_1.tif,0,0,0.882047564036014,-0.2638220696039118,0.16015416199272592,-0.4281431400374624,-0.3166444330973404,-0.15612410443180408,-0.36532147727335884,-0.24443260638082656,-0.13969219304831548,0.3515674606496779,0.09995420186455332,-0.3261792239780892,0.03742486792408775,-0.9474703741547652,0.29157414838592005,0.3901396282164901,0.5755855075869952,2.5,TX,3.19,2.62,1,1,4,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-4_tile_1_0.tif,0,0,0.882047564036014,-0.2467898823966324,0.3754834236643048,0.16989718516674368,-0.32629754748765516,-0.48075938690699416,2.0230713157678357,-0.19972999993538298,-0.6369946661372443,-4.28458672894814,0.034298548915257646,-0.2351511929096347,0.11574228189332018,-0.9550107271350216,0.2930547022468928,0.6197271611571552,0.5709486470964847,2.5,TX,3.19,2.62,1,1,4,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-4_tile_1_1.tif,0,0,0.882047564036014,-0.052468110168126775,0.3621145786057318,-1.1988598912439337,-0.02469563661599714,-0.038187295794587246,-0.6028532422747186,-0.13853765645773594,-0.30059104236994083,0.3024803730210714,-0.0024215693415625427,0.050092878423685545,0.029719779889848294,-0.9410449007088219,0.29693330046644767,0.5337546076260012,0.6964995990874151,2.5,TX,3.19,2.62,1,1,4,1,1
