Filename,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Island Area Change,Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Maximum Kurtosis,Maximum Median Skewness,Maximum Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Flow Direction,Flow Directional Spread
10_11_M-M+kn+my_005.nd2 - C=0.tif,0,0,1.0,0.45230865478515625,0.65771484375,1.0576458078605884,1.938556084415549,0.33575439453125,0.1411590576171875,2.6210704330403938,1.1783052970684582,0.7393960833733174,-0.5696978532035855,0.577900071044236,0.09458290473333048,1.6201177,-1.1793265,-1.5753925,0.10650243
10_11_M-M+kn+my_005.nd2 - C=1.tif,0,0,0.8082191780821918,0.5503005981445312,0.7086563110351562,1.130060902460516,1.1495448198534517,0.2953338623046875,0.0361328125,272.81916484691607,1.2002163303035915,0.4048044677034413,108.84902787587298,-0.5773755784924488,3.732716910552604,1.6928358,0.28095758,-1.579163,0.07843641
9_53_M-M+kn+my_002.nd2 - C=0.tif,0,0,1.0,0.6013904918323864,0.31566273082386365,0.9930696184659572,1.0396375966848477,0.5933430989583334,0.0037027994791666665,94.18045380653646,0.4888078987408984,0.7000816536540982,34.55784500355275,0.03246998352905989,-0.001091332301196013,0.059741043,0.05539907,0.85360473,0.8891688
10_23_M-M+kn+my_007.nd2 - C=0.tif,0,0,0.7227722772277227,0.66302490234375,0.6538141424005682,0.6946063546858924,1.578786927143984,0.5483296712239584,0.00201416015625,52.75594183821446,0.48011074533354936,0.6982278365020471,32.36774543068646,0.011276752272968149,-0.11731734214253908,0.93796587,-0.5173621,-1.2928686,0.282123
10_23_M-M+kn+my_007.nd2 - C=1.tif,0,0,0.297029702970297,0.5569180575284091,0.7596269087357954,0.8776550344678661,1.2836650044035092,0.2555948893229167,0.13703409830729166,124.93475644503161,0.8835255116332186,0.300961784783356,104.27760365902584,-0.36009599622532484,5.241883337430841,0.9279135,-0.43439722,-1.2349973,0.324802
5_47_A-A+kn+my_004.nd2 - C=0.tif,0,0,1.0,0.5744406960227273,0.4620583274147727,0.8436215210532272,1.6125450695358554,0.56024169921875,0.014444986979166666,23.496171788721817,0.7328309619799122,0.8406806954405857,-20.108347212285253,0.30513473381507583,0.4011189977070831,0.33756435,-0.006143585,1.8207453,0.09140056
5_47_A-A+kn+my_004.nd2 - C=1.tif,0,0,1.0,0.47175181995738635,0.5357832475142046,0.8453716382073644,1.4928053474416352,0.4272867838541667,0.040211995442708336,17.226589927540605,0.8341454731952347,0.7374647226462476,7.27429069875879,0.13481595336457763,-0.025820596324065304,0.33719796,-0.005405724,1.8200022,0.085548185
5_20+kn+my_003.nd2 - C=0.tif,0,0,1.0,0.7430586381392046,0.04959383877840909,1.0125612814125913,0.8551911598072099,0.72418212890625,0.00067138671875,0.6611728783498723,0.2749423055018115,0.5319319140435729,-0.0997985755420559,-0.004210147135317477,-0.011681438703218194,0.084935226,0.15025379,0.81574064,0.9199139
5_20+kn+my_003.nd2 - C=1.tif,0,0,1.0,0.6257046786221591,0.18532492897727273,1.2149396351153228,0.7189665965660862,0.47755126953125,0.0199951171875,86.97908506795537,0.6634119375295813,0.5930814634091595,-6.784023601273738,-0.13085264745951708,-0.06239368561627018,0.07875921,0.17034021,0.89677054,0.6776403
6_02+kn+my_006.nd2 - C=1.tif,0,0,0.8613861386138614,0.5912309126420454,0.45892333984375,0.9954957627600067,0.8105651301380552,0.382958984375,0.0146728515625,1.3986850781936813,0.6240855047081724,-3.190719581189034,-0.2625226309159334,-0.6484365836097192,-0.6509604218469591,0.6093708,-0.30292678,-1.424093,0.035406567
6_14+kn+my_006.nd2 - C=1.tif,0,0,0.9411764705882353,0.5427398681640625,0.5669047037760416,1.1321389428247033,0.9728770344040224,0.3647054036458333,0.026896158854166668,0.07030429552236588,0.8119998804260925,-1.0444965271442064,0.058182819992663476,-1.266705728105197,1.0845405857623742,0.262558,-0.13564578,1.3747507,0.05755898
4_39_A-A+kn_005.nd2 - C=0.tif,0,0,1.0,0.4759572347005208,0.4918874104817708,0.9455610825515113,1.4049752667024256,0.4766438802083333,0.00433349609375,-1.3814380667899362,0.6998168970756455,-1.3470793954360758,0.10361645985114509,0.15939601938409664,-0.093240057867509,0.05604981,-0.03741466,1.4839895,0.33076417
4_39_A-A+kn_005.nd2 - C=1.tif,0,0,1.0,0.5568644205729166,0.3066864013671875,0.9174871787366125,1.2496175478682654,0.5665384928385416,0.0032755533854166665,-1.3604733015954202,-0.15401902077359753,-0.928136965793926,0.12236127102535099,0.7348131391764826,-0.1329381139277378,0.055716533,-0.0421462,1.4822501,0.34304032
12_10+kn+noxlinktest_007.nd2 - C=1.tif,0,0,0.2761904761904762,0.3533602627840909,0.5848888050426136,1.230636188222701,0.8918951138321033,0.20635986328125,0.10417683919270833,1.1019887561387254,1.090136860554844,-1.6963100654884666,1.2441905545674148,-0.20448604427310535,-0.6831793926760958,0.6767658,-0.18469965,1.5735023,0.021836994
11_51+kn+noxlinktest_005.nd2 - C=1.tif,0,0,0.6216216216216216,0.371917724609375,0.6203409830729166,0.8601332381187001,0.9513203843030174,0.264495849609375,0.041219075520833336,88.71352990060828,0.9263984231096024,0.5534622784451831,47.07769355323047,-0.3026565566824888,-0.1641204245099498,0.8615628,0.5556918,0.36057302,0.19346114
12_25+kn+noxlinktest_008.nd2 - C=1.tif,0,0,1.0,0.44340376420454547,0.5428855202414773,1.414770728469495,0.9341600613891506,0.27313232421875,0.078887939453125,5.409470715900335,0.7970156628783617,-4.021487451346509,-0.7138600777464892,0.047526793626985864,0.1825069779276003,0.34140405,-0.028513074,1.6928874,0.04221826
12_19+kn+noxlinktest_008.nd2 - C=1.tif,0,0,0.7821782178217822,0.40290416370738635,0.5962468927556818,0.7346708516149333,1.063264109671371,0.3948486328125,0.020947265625,4.013901278703189,0.848387898050228,-3.452909984256298,-0.3228484521481185,-0.010757594437596274,0.13900660032934464,0.35886356,0.0021854043,1.6490703,0.03704738
