File,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Average Island Area Change,Average Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Max Kurtosis,Max Median Skewness,Max Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Direction,Mean Direction Standard Deviation
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-29.tif,0,0,0.0,0.08141447368421052,0.7641694078947369,1.4970109081864695,1.053203767613901,0.038574561403508775,0.026973684210526316,77.99378859418096,0.7119801808685269,0.7188286099388159,-24.95192850259462,-0.35415270240075436,-0.36716990045376724,2.4671516,-2.4208605,-0.15576272,1.8848369
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-15.tif,0,0,0.0,0.10114583333333334,0.7858545778508772,1.6246972866467608,1.132617267076373,0.03947642543859649,0.01948327850877193,850.7068289184095,0.6328752034848946,0.7971171422291314,509.76786748376685,-0.3008541410758967,-0.5612670810174806,2.9407237,-1.7832825,0.025848106,1.7763653
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-18.tif,0,0,0.0,0.13473821271929826,0.826320586622807,0.2751832930348647,1.2079374291948977,0.14058114035087718,0.030810032894736845,3.7262373640940587,0.23799127303304823,1.3142841683435114,0.8241178874628943,-0.054122162893907616,-0.2561586423503527,2.4758496,-1.7615762,-0.43788597,1.8010551
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-30.tif,0,0,0.0,0.06978824013157894,0.824851288377193,1.6713531484196806,1.1122096900005032,0.028042763157894737,0.025682565789473685,96.28660449527969,0.7000375126462643,0.784991728540163,7.98791500990297,-0.35041289052243063,-0.515459413132294,2.818557,-2.310898,0.28874984,1.6752951
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-24.tif,0,0,0.0,0.08803316885964912,0.8159299616228071,1.3802233487090783,1.1546658925444373,0.028525219298245613,0.021600877192982457,51.09981938463355,0.4843724685277977,0.8762886005103656,36.37048945957845,-0.24996107589242914,-0.47062565441015464,2.5643942,-2.0988812,0.16427797,1.7947109
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-5.tif,0,0,0.0,0.12471765350877193,0.864952028508772,1.3440784534534533,0.9277096989158476,0.057203947368421056,0.044765624999999996,74.17582148787199,0.6757111416826047,0.288408305285435,-17.45377307780792,-0.3676172602605827,-0.15550132822387094,2.971921,-0.5851245,-0.68172204,1.8844212
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-4.tif,0,0,0.11458333333333333,0.25956345942982456,0.7704461348684211,0.3394093122729363,1.3351912870844882,0.2960279605263158,0.017149122807017546,11.015915717784779,1.126881994950072,0.8440171416344446,5.659693494346083,-0.5486962414062437,-0.6684704200817095,3.3302767,-1.2922225,-0.4867962,1.8095247
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-25.tif,0,0,0.03125,0.0882702850877193,0.8187088815789474,0.654024531749139,1.0134423508197183,0.08051946271929825,0.04192845394736842,99.05674643602697,1.0048338071598257,0.44280840093145235,-36.806200878741244,-0.379630637135284,-0.09334575085388763,2.90072,0.36898637,-0.06643924,1.8022554
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-19.tif,0,0,0.041666666666666664,0.049061129385964915,0.84109375,0.6176268920485191,1.055450169670898,0.03981222587719298,0.03332099780701754,363.46940519315046,1.202160405462655,0.4930911245667761,304.4281098067438,-0.6923215002218915,-0.26922228944310334,3.1161544,-0.3929019,0.028272366,1.8146044
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-27.tif,0,0,0.0,0.07865131578947368,0.7751809210526316,0.5388806834218562,1.1152497634634886,0.07122258771929824,0.033691063596491225,22.51631212930924,0.9922489145057454,0.9231641113976756,4.332083372396362,-0.46432558148144853,-0.6130999318048271,3.0603964,-2.169317,0.42735767,1.7510852
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-6.tif,0,0,0.0,0.09284333881578948,0.8596888706140351,0.7591168170744014,1.0497092500064278,0.09507538377192983,0.006504934210526316,143.16164739557286,-0.11739264654353179,-0.14829699237910765,-71.27863469228494,-0.17441615846248204,-0.100804179619946,1.8482559,-1.5074558,-0.14810017,1.8065106
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-7.tif,0,0,0.10416666666666667,0.05192982456140351,0.7784121436403508,0.7783331510302727,0.9855316178534835,0.04385690789473685,0.03378700657894737,33.261635998025326,1.1184870246142766,0.48169160219625906,-6.357843545420039,-0.5363117343887447,-0.12606080381223106,3.6786878,-0.16854978,-0.7515747,1.8906995
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-26.tif,0,0,0.0,0.07792489035087719,0.776063596491228,1.2304466328078998,1.08176431983312,0.0403453947368421,0.029054276315789475,25.803969690084223,1.2545465969020886,0.749365164148595,16.161060275599745,-0.673773510874391,-0.4346682251830182,2.8552995,-1.9460616,0.08416685,1.8037609
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-22.tif,0,0,0.0,0.060601014254385965,0.7818660910087719,1.1737864433266592,1.1039879825549768,0.02806606359649123,0.017578125,8.94252002851088,0.9247002400332152,0.8411609758678678,-3.970395168105325,-0.5004017404320965,-0.4729833514384399,2.8045435,-1.1789856,0.053829595,1.858801
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-3.tif,0,0,0.0,0.08561266447368421,0.7784155701754386,0.9185841755497453,1.184755073373299,0.054517543859649124,0.04551946271929824,52.703057606872896,0.37272506184439325,0.9592553682032198,35.19982755930585,0.012880378970486106,-0.4071714088958137,2.5736964,-1.3727903,0.23004761,1.7846854
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-2.tif,0,0,0.0,0.0724890350877193,0.7767975603070175,0.5457814253302864,1.1203060750268226,0.05577987938596491,0.0313843201754386,88.99880820416249,1.052689937470639,0.9239721474778255,70.39117668159393,-0.4278838113833041,-0.558631684029432,2.8385324,-0.98920953,-0.45642376,1.9831738
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-23.tif,0,0,0.03125,0.09875548245614035,0.7767557565789474,0.7371841150961975,1.209270883840463,0.07237938596491228,0.026506304824561403,6.194236287530141,0.5949522676964397,0.9002908661046862,1.1978873375892582,-0.343551044411093,-0.6604647802742702,2.521597,-1.3725765,-0.1589647,1.8107363
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-21.tif,0,0,0.0,0.07227521929824561,0.7889336622807017,0.9315948112066882,1.1523428135882807,0.03967516447368421,0.03192297149122807,842.6096101330901,0.6132464636045023,0.9159605943520875,573.0632906158202,-0.3131505500023961,-0.6586925645818231,2.9734662,-1.4561417,0.123651154,1.8585747
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-1.tif,0,0,0.46875,0.11960594846491229,0.8588185307017544,2.538713010820941,0.8602343364597632,0.030230263157894736,0.02575246710526316,84.6919453809316,0.678826260282002,0.3827945489154433,-43.37546380243432,-0.13326934520154365,0.09442102263838317,3.6386888,0.57248306,-0.026224056,2.0204997
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-20.tif,0,0,0.0,0.04542420504385965,0.7766269188596491,0.7120169628654489,1.1195192504010245,0.04164610745614035,0.02614172149122807,26.437982699599942,1.0130036595088403,0.8603305680651966,16.2195418792452,-0.5372590617236797,-0.5524067500034233,2.7893045,-1.7260845,-0.48486328,1.9034022
